include_in_XM_reporting,platform,app_sub,portfolio,common_name,dashboard_app_name,pendo_app_name,app_contact,install_status,JEDI_dashboard_status,last_validation_date,pendo_app_id,notes
FALSE,Web,CAE,Supply Chain ,Delivery Tracker,Delivery Tracker,Delivery Tracker,,Complete,Paused,,5511429746786304,
FALSE,Web,CAE,Merch ,IDM+,IDM+,IDM+,,Complete,In flux,10/29/25,5054627783573504,
FALSE,Web,CAE,Merch ,DAL,,,,Deprioritized,Deprioritized,,,
FALSE,Web,SAE,Payments ,OrangePay (Associate),,,,Deprioritized,Deprioritized,,,
FALSE,Web,CAE,Supply Chain ,ROPE,ROPE,,,Deprioritized,Deprioritized,,,
TRUE,Web,SAE,Store ,1Returns,1Returns,1Returns,,Complete,Complete,,6271591770816512,
TRUE,Web,CAE,Merch ,Axen,Axen,Axen,,Complete,Complete,,5744899806920704,
TRUE,Web,SAE,Merch ,BOLT,BOLT,BOLT,,Complete,,,5092047512076288,
TRUE,Web,CAE,IPR ,Containerization,Containerization,Containerization,,Complete,Complete,,5127616537493504,
TRUE,Web,SAE,Store ,Curbside,Curbside Release,Curbside Release,,Complete,Complete,,6453621185249280,
TRUE,Web,CAE,Merch ,Data Connect,DataConnect,DataConnect,,Complete,Complete,,6248121757466624,
TRUE,Web,SAE,Merch ,DBSR,DBSR,DBSR,,Complete,,,5828518237896704,
TRUE,Android,CAE,Supply Chain ,Driver Handheld,DHH - Android,DHH - Android,,Complete,,,5361251349889024,
TRUE,iOS,CAE,Supply Chain ,Driver Handheld,DHH - iOS,DHH - iOS,,Complete,,,6328623242084352,
TRUE,Web,CAE,Supply Chain ,DMP / MARS / EMT,DMP / MARS / EMT,DMP / MARS / EMT,,Complete,Complete,,6622669332217856,
TRUE,Web,CAE,Supply Chain ,DNA,DNA,DNA,,Complete,Complete,,4869655143579648,
TRUE,Web,CAE,IPR ,Parm Light,Parm Light,Parm Light,,Complete,,,5901545214509056,
TRUE,Web,SAE,Store ,Engage,Engage,Engage,,Complete,Complete,,4820274633703424,
TRUE,Web,SAE,Store ,Freight Management,Freight Management Tool,Freight Management Tool (FMT),,Complete,Complete,,6271182919892992,
TRUE,Web,SAE,Pro ,QuoteCenter,HDQC,HDQC,,Complete,Complete,10/27/25,6268188937617408,
TRUE,Web,SAE,Customer Solutions ,HOME,HOME,HOME,,Complete,Complete,,6586327856513024,
TRUE,Web,CAE,Supply Chain ,HDW Desktop,Home Depot Warehouse,Home Depot Warehouse (HDW),,Complete,Complete,,4797651107381248,
TRUE,Web,CAE,Supply Chain ,HDY,Home Depot Yard,Home Depot Yard (HDY),,Complete,Complete,,6295421999841280,
TRUE,Web,CAE,Merch ,IDM Vendor Portal,IDM Vendor Portal,IDM Vendor Portal,,Complete,,,5417377529528320,
TRUE,Web,SAE,Merch ,Ladle,Ladle,Ladle,,Complete,,,5581266735005696,
TRUE,Web,CAE,Merch ,mPULSE,"mPulse	",mPULSE,,Complete,Complete,10/22/25,-323232,
TRUE,Web,CAE,Merch ,MyAssortment,MyAssortment,MyAssortment,,Complete,Complete,10/20/25,6561072645275648,
TRUE,Web,SAE,Store ,MyView,MyView,MyView,,Complete,Complete,9/30/25,-323232,
TRUE,Web,CAE,IPR ,One Inventory Platform,One Inventory Platform,One Inventory Platform,,Complete,Complete,10/24/25,6046955572363264,
TRUE,Web,SAE,Store ,One Paint,One Paint,One Paint,,Complete,Complete,,4938883494248448,
TRUE,Web,CAE,IPR ,One Visibility Tool,One Visibility Tool,One Visibility Tool (OVT),,Complete,Complete,,5367647529271296,
TRUE,Web,CAE,IPR ,One Network Tool (ONT),One Network Tool,ONT,,Complete,Complete,,6033277397958656,
TRUE,Web,CAE,IPR ,Orderability (Order Eligibility),Orderability,Orderability,,Complete,Complete,10/24/25,5423358690918400,
TRUE,Web,SAE,Store ,Order Up,OrderUp,OrderUp,,Complete,Complete,,5821761749057536,
TRUE,Web,CAE,Merch ,Pacman Core,Pacman,Pacman,,Complete,Complete,,5892763574730752,
TRUE,Web,CAE,Merch ,Pacman Online,PacMan Online,PaCMan ONLINE,,Complete,Complete,,4691735542104064,
TRUE,Web,CAE,Merch ,POG Portal,POG Portal,POG Portal,,Complete,Complete,,6357461212790784,
TRUE,Web,CAE,Merch ,Price Engine,Price Engine,Price Engine,,Complete,Complete,10/24/25,6099885096828928,
TRUE,Web,CAE,Merch ,PRISM,PRISM,PRISM,,Complete,,,5830725454725120,
TRUE,Web,SAE,Pro ,ProAssist,ProAssist,ProAssist,,Complete,Complete,,4903607598252032,
TRUE,Web,CAE,Supply Chain ,Pulse,Pulse,Pulse,,Complete,Complete,,6536641984528384,
TRUE,Web,SAE,Store ,Rental Toolbox,"Rental Toolbox	",Rental Toolbox (RTB),,Complete,Complete,,5241767070990336,
TRUE,Web,SAE,Store ,Sidekick,Sidekick,Sidekick,,Complete,Complete,,5731918301822976,
TRUE,Web,CAE,Merch ,SKU Auth,SKU Authoring,SKU Authoring,,Complete,Complete,11/7/26,6206783385108480,
TRUE,Web,SAE,Store ,SKU Depot,SKU Depot,SKU Depot,,Complete,Complete,,5993549573324800,
